Date,Close,Open,High,Low
24/01/22,4410.10,4356.30,4417.40,4222.60
21/01/22,4397.90,4471.40,4494.50,4395.30
20/01/22,4482.70,4547.40,4602.10,4477.90
19/01/22,4532.80,4588.00,4611.60,4530.20
18/01/22,4577.10,4632.20,4632.20,4568.70
14/01/22,4662.90,4638.00,4665.10,4614.80
13/01/22,4659.00,4733.60,4744.10,4650.30
12/01/22,4726.40,4728.60,4748.80,4706.70
11/01/22,4713.10,4669.10,4714.10,4638.30
10/01/22,4670.30,4655.30,4673.00,4582.20
07/01/22,4677.00,4697.70,4707.90,4662.70
06/01/22,4696.10,4693.40,4725.00,4671.30
05/01/22,4700.60,4788.00,4797.70,4699.40
04/01/22,4793.50,4804.50,4818.60,4774.30
03/01/22,4796.60,4778.10,4796.60,4758.20
31/12/21,4766.20,4775.20,4786.80,4765.80
30/12/21,4778.70,4794.20,4808.90,4775.30
29/12/21,4793.10,4788.60,4804.10,4778.10
28/12/21,4786.40,4795.50,4807.00,4780.00
27/12/21,4791.20,4734.00,4791.50,4734.00
23/12/21,4725.80,4704.00,4740.70,4704.00
22/12/21,4696.60,4650.40,4697.70,4645.50
21/12/21,4649.20,4595.00,4651.10,4583.20
20/12/21,4568.00,4587.90,4587.90,4531.10
17/12/21,4620.60,4652.50,4666.70,4600.20
16/12/21,4668.70,4719.10,4732.00,4651.90
15/12/21,4709.90,4636.50,4712.60,4611.20
14/12/21,4634.10,4643.00,4660.50,4606.50
13/12/21,4669.00,4710.30,4710.30,4667.60
10/12/21,4712.00,4687.60,4713.60,4670.20
09/12/21,4667.40,4691.00,4695.30,4666.00
08/12/21,4701.20,4690.90,4705.10,4674.50
07/12/21,4686.80,4632.00,4694.00,4632.00
06/12/21,4591.70,4548.40,4612.60,4540.50
03/12/21,4538.40,4589.50,4608.00,4495.10
02/12/21,4577.10,4504.70,4595.50,4504.70
01/12/21,4513.00,4602.80,4652.90,4510.30
30/11/21,4567.00,4640.20,4646.00,4560.00
29/11/21,4655.30,4628.80,4672.90,4625.30
26/11/21,4594.60,4664.60,4664.60,4585.40
24/11/21,4701.50,4675.80,4702.90,4659.90
23/11/21,4690.70,4678.50,4699.40,4652.70
22/11/21,4682.90,4712.00,4743.80,4682.20
19/11/21,4698.00,4708.40,4717.80,4694.20
18/11/21,4704.50,4700.70,4708.80,4672.80
17/11/21,4688.70,4701.50,4701.50,4684.40
16/11/21,4700.90,4679.40,4714.90,4679.40
15/11/21,4682.80,4689.30,4697.40,4672.90
12/11/21,4682.90,4655.20,4688.50,4650.80
11/11/21,4649.30,4659.40,4664.60,4648.30
10/11/21,4646.70,4670.30,4684.90,4630.90
09/11/21,4685.20,4707.20,4708.50,4670.90
08/11/21,4701.70,4701.50,4714.90,4694.40
05/11/21,4697.50,4699.30,4718.50,4681.30
04/11/21,4680.10,4662.90,4683.00,4662.60
03/11/21,4660.60,4630.60,4663.50,4621.20
02/11/21,4630.60,4613.30,4635.10,4613.30
01/11/21,4613.70,4610.60,4620.30,4595.10
29/10/21,4605.40,4572.90,4608.10,4567.60
28/10/21,4596.40,4562.80,4597.60,4562.80
27/10/21,4551.70,4580.20,4584.60,4551.70
26/10/21,4574.80,4578.70,4598.50,4569.20
25/10/21,4566.50,4553.70,4572.60,4537.40
22/10/21,4544.90,4546.10,4559.70,4524.00
21/10/21,4549.80,4532.20,4551.40,4526.90
20/10/21,4536.20,4524.40,4540.90,4524.40
19/10/21,4519.60,4497.30,4520.40,4496.40
18/10/21,4486.50,4463.70,4488.80,4447.50
15/10/21,4471.40,4447.70,4475.80,4447.70
14/10/21,4438.30,4386.80,4439.70,4386.80
13/10/21,4363.80,4358.00,4372.90,4329.90
12/10/21,4350.60,4368.30,4374.90,4342.10
11/10/21,4361.20,4385.40,4415.90,4360.60
08/10/21,4391.30,4406.50,4412.00,4386.20
07/10/21,4399.80,4383.70,4430.00,4383.70
06/10/21,4363.60,4319.60,4365.60,4290.50
05/10/21,4345.70,4309.90,4369.20,4309.90
04/10/21,4300.50,4348.80,4355.50,4278.90
01/10/21,4357.00,4317.20,4375.20,4288.50
30/09/21,4307.50,4370.70,4382.60,4306.20
29/09/21,4359.50,4362.40,4385.60,4355.10
28/09/21,4352.60,4419.50,4419.50,4346.30
27/09/21,4443.10,4442.10,4457.30,4436.20
24/09/21,4455.50,4438.00,4463.10,4430.30
23/09/21,4449.00,4406.80,4465.40,4406.80
22/09/21,4395.60,4367.40,4416.80,4367.40
21/09/21,4354.20,4374.40,4394.90,4348.00
20/09/21,4357.70,4402.90,4402.90,4305.90
17/09/21,4433.00,4469.70,4471.50,4427.80
16/09/21,4473.80,4477.10,4485.90,4443.80
15/09/21,4480.70,4447.50,4486.90,4438.40
14/09/21,4443.10,4479.30,4485.70,4435.50
13/09/21,4468.70,4474.80,4493.00,4445.70
10/09/21,4458.60,4506.90,4520.50,4457.70
09/09/21,4493.30,4513.00,4529.90,4492.10
08/09/21,4514.10,4518.10,4521.80,4493.90
07/09/21,4520.00,4535.40,4535.40,4513.00
03/09/21,4535.40,4532.40,4541.40,4521.30
02/09/21,4536.90,4534.50,4545.90,4524.70
01/09/21,4524.10,4528.80,4537.10,4522.00
31/08/21,4522.70,4529.80,4531.40,4515.80
30/08/21,4528.80,4513.80,4537.40,4513.80
27/08/21,4509.40,4474.10,4513.30,4474.10
26/08/21,4470.00,4493.80,4495.90,4469.00
25/08/21,4496.20,4490.40,4501.70,4485.70
24/08/21,4486.20,4484.40,4492.80,4482.30
23/08/21,4479.50,4450.30,4489.90,4450.30
20/08/21,4441.70,4410.60,4444.40,4406.80
19/08/21,4405.80,4382.40,4418.60,4367.70
18/08/21,4400.30,4440.90,4454.30,4397.60
17/08/21,4448.10,4462.10,4462.10,4417.80
16/08/21,4479.70,4461.60,4480.30,4437.70
13/08/21,4468.00,4464.80,4468.40,4460.80
12/08/21,4460.80,4446.10,4461.80,4436.00
11/08/21,4447.70,4442.20,4449.40,4436.40
10/08/21,4436.80,4435.80,4445.20,4430.00
09/08/21,4432.40,4437.80,4439.40,4424.70
06/08/21,4436.50,4429.10,4440.80,4429.10
05/08/21,4429.10,4408.90,4429.80,4408.90
04/08/21,4402.70,4415.90,4416.20,4400.20
03/08/21,4423.10,4392.70,4423.80,4373.00
02/08/21,4387.20,4406.90,4422.20,4384.80
30/07/21,4395.30,4395.10,4412.20,4389.60
29/07/21,4419.10,4403.60,4430.00,4403.60
28/07/21,4400.60,4402.90,4415.50,4387.00
27/07/21,4401.50,4416.40,4416.40,4372.50
26/07/21,4422.30,4409.60,4422.70,4405.40
23/07/21,4411.80,4381.20,4415.20,4381.20
22/07/21,4367.50,4361.30,4369.90,4350.10
21/07/21,4358.70,4331.10,4359.70,4331.10
20/07/21,4323.10,4265.10,4336.80,4262.10
19/07/21,4258.50,4296.40,4296.40,4233.10
16/07/21,4327.20,4367.40,4375.10,4322.50
15/07/21,4360.00,4369.00,4369.00,4340.70
14/07/21,4374.30,4380.10,4393.70,4362.40
13/07/21,4369.20,4381.10,4392.40,4366.90
12/07/21,4384.60,4372.40,4386.70,4364.00
09/07/21,4369.60,4329.40,4371.60,4329.40
08/07/21,4320.80,4321.10,4330.90,4289.40
07/07/21,4358.10,4351.00,4361.90,4329.80
06/07/21,4343.50,4356.50,4356.50,4314.40
02/07/21,4352.30,4326.60,4355.40,4326.60
01/07/21,4319.90,4300.70,4320.70,4300.70
30/06/21,4297.50,4290.60,4302.40,4288.00
29/06/21,4291.80,4293.20,4300.50,4287.00
28/06/21,4290.60,4284.90,4292.10,4274.70
25/06/21,4280.70,4274.40,4286.10,4271.20
24/06/21,4266.50,4257.00,4271.30,4257.00
23/06/21,4241.80,4249.30,4256.60,4241.40
22/06/21,4246.40,4224.60,4255.80,4217.30
21/06/21,4224.80,4173.40,4226.20,4173.40
18/06/21,4166.40,4204.80,4204.80,4164.40
17/06/21,4221.90,4220.40,4232.30,4196.10
16/06/21,4223.70,4248.90,4251.90,4202.40
15/06/21,4246.60,4255.30,4257.20,4238.40
14/06/21,4255.10,4248.30,4255.60,4234.10
11/06/21,4247.40,4242.90,4248.40,4232.20
10/06/21,4239.20,4228.60,4249.70,4220.30
09/06/21,4219.60,4233.00,4237.10,4218.70
08/06/21,4227.30,4233.80,4236.70,4208.40
07/06/21,4226.50,4229.30,4232.30,4215.70
04/06/21,4229.90,4206.10,4233.40,4206.10
03/06/21,4192.90,4191.40,4204.40,4167.90
02/06/21,4208.10,4206.80,4217.40,4198.30
01/06/21,4202.00,4216.50,4234.10,4197.60
28/05/21,4204.10,4210.80,4218.40,4203.60
27/05/21,4200.90,4201.90,4213.40,4197.80
26/05/21,4196.00,4191.60,4202.60,4184.10
25/05/21,4188.10,4205.90,4213.40,4182.50
24/05/21,4197.10,4170.20,4209.50,4170.20
21/05/21,4155.90,4168.60,4188.70,4151.70
20/05/21,4159.10,4122.00,4172.80,4122.00
19/05/21,4115.70,4098.40,4116.90,4061.40
18/05/21,4127.80,4165.90,4169.10,4126.00
17/05/21,4163.30,4169.90,4171.90,4142.70
14/05/21,4173.90,4129.60,4183.10,4129.60
13/05/21,4112.50,4075.00,4131.60,4075.00
